1238,2121
339,517
1126,2294
104,1374
706,1479
1349,2339
905,2591
1101,2237
492,732
25,34
893,2473
1130,1891
1039,2298
512,795
621,967
36,48
145,220
940,2706
661,1039
117,158
90,1452
410,639
160,235
969,1542
83,1449
532,1275
43,64
1242,2374
944,1485
895,2495
243,354
1423,2651
127,179
911,1429
1169,1953
298,411
317,461
1072,1791
607,937
94,123
902,2548
291,408
602,2256
43,77
1276,2200
1083,1805
196,292
214,309
1213,2036
323,481
101,139
326,523
904,2449
1188,1979
1234,2095
346,1404
541,825
725,1171
685,2267
497,755
999,1639
1391,2429
345,886
68,83
54,185
421,652
892,2452
910,2506
664,1053
667,1058
1003,1650
60,1023
903,2466
908,2581
885,1402
768,1231
54,427
903,2587
216,1428
374,553
590,1080
1219,2042
172,274
1121,1884
1286,2217
197,1270
1351,2346
28,37
225,322
154,2068
1326,2289
51,169
430,956
624,970
39,51
1272,2174
81,1445
1447,2700
148,223
44,102
417,613
329,500
69,1327
1056,1768
268,2210
162,2723
866,1378
143,229
972,1545
1096,1840
1279,2190
1205,2012
1103,2230
377,1335
49,1735
949,1497
714,1142
1293,2246
44,115
147,994
719,1156
194,288
825,1323
902,2482
656,1029
106,296
900,2557
894,2483
679,1097
154,229
488,748
166,1636
412,645
637,992
106,309
792,1280
915,1616
1113,1860
748,1210
1224,2078
930,1631
804,2687
45,191
84,1580
616,946
1080,1804
256,374
1264,2150
300,417
771,1234
318,471
774,1239
95,133
998,1627
898,2443
292,418
539,820
1268,2161
896,2518
722,1170
1317,2282
441,662
1242,2108
531,821
1217,2051
733,1184
1235,2105
381,1900
328,1256
269,383
893,2462
513,780
647,1009
740,1200
531,834
259,375
484,722
281,393
1419,2693
817,1312
1349,2341
1101,2239
134,208
1130,1893
784,1256
459,678
524,807
117,160
976,1547
410,641
791,1272
902,2537
83,1451
43,66
718,1144
1248,2127
895,2497
243,356
594,1108
421,628
1104,1853
458,2681
1079,1796
414,625
1169,1955
751,1213
1069,1788
1280,2200
660,1031
1227,2081
1027,1727
43,79
54,174
718,1157
915,1442
530,813
98,136
426,2153
901,2446
395,588
1234,2097
468,1103
1187,1985
77,198
1140,1910
1143,1915
305,587
1043,1748
251,1519
631,986
1185,2326
65,80
901,2567
999,1641
1391,2431
345,888
736,1941
130,182
23,2005
892,2454
692,1117
170,254
483,714
667,1060
49,193
801,1289
1377,2388
916,1764
1380,2393
1003,1652
638,1002
60,1025
1024,1711
564,1992
650,1012
54,429
1344,2332
246,370
1347,2337
903,2589
1384,2404
1037,2296
104,142
1358,2351
891,1424
172,276
53,96
204,494
1286,2219
56,101
322,486
107,561
1433,2683
1326,2291
1133,1896
587,905
315,446
1272,2176
81,1447
698,1123
942,1483
44,104
1153,1932
1218,2061
125,214
1239,2120
143,231
953,1497
1171,2659
721,1147
1251,2130
1,3
814,1311
900,2546
1040,2297
1293,2248
147,996
913,1438
825,1325
916,1443
663,1034
391,575
528,809
953,1510
1030,1730
383,2148
534,1563
906,2603
106,298
425,1512
894,2485
514,803
920,1454
613,2731
398,591
507,763
869,1381
690,1113
908,2504
665,1056
1334,2383
328,653
106,311
915,1618
1113,1862
211,1007
1343,2324
429,2398
1215,2031
84,1582
12,16
755,2275
1264,2152
1217,2040
318,473
1396,2456
95,135
1182,1975
1047,1750
107,145
910,2455
404,597
896,2520
919,1457
531,823
668,1057
415,611
1235,2107
149,1660
161,2717
183,490
1238,2112
933,1476
336,1257
1413,2638
595,2420
1374,2387
1001,1647
701,1126
926,1473
945,1486
1101,2228
1156,1935
328,1258
510,777
893,2464
740,1202
375,552
81,105
531,836
259,377
278,390
484,724
190,277
